Project,nome,mult,side,kernel_size,output_side,output_pixels,cycles,time_ns,pixels_per_cycle,macs_per_cycle
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,Conv2x2,4.0,32,2,31,961,29704.0,297065.0,0.03235254511176946,0.12941018044707783
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,Conv2x2,4.0,32,2,31,961,29704.0,297065.0,0.03235254511176946,0.12941018044707783
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,Conv2x2,4.0,32,2,31,961,29704.0,297065.0,0.03235254511176946,0.12941018044707783
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,Conv2x2,8.0,32,2,31,961,25654.0,256565.0,0.03746004521712014,0.2996803617369611
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,Conv2x2,8.0,32,2,31,961,25654.0,256565.0,0.03746004521712014,0.2996803617369611
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,Conv2x2,8.0,32,2,31,961,25654.0,256565.0,0.03746004521712014,0.2996803617369611
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,Conv2x2,4.0,32,2,31,961,27725.0,277265.343,0.03466185752930568,0.13864743011722272
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv2x2,8.0,32,2,31,961,23675.0,236765.351,0.040591341077085535,0.3247307286166843
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv2x2,16.0,32,2,31,961,23672.0,236745.0,0.04059648529908753,0.6495437647854004
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,Conv2x2,4.0,32,2,31,961,27725.0,277265.25800000003,0.03466185752930568,0.13864743011722272
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv2x2,8.0,32,2,31,961,23675.0,236765.24,0.040591341077085535,0.3247307286166843
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,Conv2x2,4.0,32,2,31,961,29749.0,297515.0,0.032303606843927524,0.1292144273757101
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv2x2,8.0,32,2,31,961,25699.0,257015.0,0.03739445114595899,0.2991556091676719
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,Conv2x2,,32,2,31,961,29749.0,297515.0,0.032303606843927524,
Conv2x2-conv-i16-h16-t16-o4-m04-std,Conv2x2,4.0,32,2,31,961,23677.0,236795.0,0.04058791231997297,0.16235164927989187
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv2x2,8.0,32,2,31,961,23675.0,236775.0,0.040591341077085535,0.3247307286166843
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv2x2,8.0,32,2,31,961,25717.0,257195.0,0.03736827779289964,0.2989462223431971
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,Conv2x2,4.0,32,2,31,961,25969.0,259715.0,0.037005660595325195,0.14802264238130078
Conv3x3-ifn9-06mac,Conv3x3,6.0,32,3,30,900,,175665.0,,
Conv3x3stream-if-ifn9-06mac,Conv3x3stream-if,6.0,32,3,30,900,22059.0,220615.0,0.04079967360261118,0.24479804161566707
Conv3x3stream-if-ifn9-12mac,Conv3x3stream-if,12.0,32,3,30,900,19359.0,193615.0,0.046490004649000466,0.5578800557880056
Conv3x3stream-if-ifn9-18mac,Conv3x3stream-if,18.0,32,3,30,900,18459.0,184615.0,0.04875670404680644,0.8776206728425159
Conv3x3stream-tc-tcn9-05mac,Conv3x3stream-tc,5.0,32,3,30,900,21060.0,210625.0,0.042735042735042736,0.21367521367521367
Conv3x3stream21-ifn9-06mac,Conv3x3stream21,6.0,32,3,30,900,22059.0,220615.0,0.04079967360261118,0.24479804161566707
Conv4x4-tcn16-18mac,Conv4x4,18.0,32,4,29,841,19263.0,192645.343,0.04365882780459949,0.7858589004827908
Conv4x4stream28-tcn16-06mac,Conv4x4stream28,6.0,32,4,29,841,19745.0,197465.0,0.04259306153456571,0.2555583692073943
