Project,nome,mult,extra,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count
IFk9-06m032p,IFk9,06,,15084,16757.496,7856.072,24613.568,726
IFk9-06m032p-csa,IFk9,06,csa,14995,17718.120,7965.904,25684.024,726
IFn9-02m032p,IFn9,02,,9548,10118.304,4679.756,14798.060,728
IFn9-03m032p,IFn9,03,,12756,12885.264,6692.064,19577.328,727
IFn9-04m032p,IFn9,04,,10770,11587.086,5305.500,16892.586,726
IFn9-06m032p,IFn9,06,,14972,14973.714,7552.595,22526.309,726
IFn9-06m032p-csa,IFn9,06,csa,14776,15088.122,7537.997,22626.119,726
IFn9-06m032p-lut,IFn9,06,lut,15155,15069.096,7656.761,22725.857,726
IFn9-09m032p,IFn9,09,,16574,16823.268,8223.000,25046.268,725
IFn9-12m032p,IFn9,12,,16162,17112.942,7921.922,25034.864,724
IFn9-18m032p,IFn9,18,,18566,21160.440,9221.758,30382.198,723
NAive-m032p,naive,,,13327,15345.666,5948.875,21294.541,193
TCk9-05m032p,TCk9,05,,16136,20182.554,8610.366,28792.920,505
TCk9-05m032p-csa,TCk9,05,csa,17196,23450.868,9366.316,32817.184,505
TCn16-06m032p,TCn1,06,,21144,24812.424,11035.693,35848.117,726
TCn16-09m032p,TCn1,09,,22197,26369.532,11434.857,37804.389,725
TCn16-12m032p,TCn1,12,,22186,26806.752,11226.757,38033.509,724
TCn16-18m032p,TCn1,18,,24469,30846.564,12459.526,43306.090,723
TCn9-05m032p,TCn9,05,,14260,15732.108,7368.232,23100.340,505
TCn9-05m032p-csa,TCn9,05,csa,14958,15973.650,7571.080,23544.730,505
WMn4-02m032p,WMn4,02,,5135,5604.102,2537.093,8141.195,326
WMn4-04m032p,WMn4,04,,6375,6816.726,3157.339,9974.065,325
WMn4-08m032p,WMn4,08,,8421,9646.056,4208.416,13854.472,323
WPn16-04m032p,WPn1,04,,22371,23713.830,10544.283,34258.113,1287
WPn16-08m032p,WPn1,08,,24879,27037.836,11798.363,38836.199,1286
WPn16-16m032p,WPn1,16,,30265,32571.504,14380.241,46951.745,1285
WPn16-32m032p,WPn1,32,,39590,42336.756,18952.558,61289.314,1283
