Project,nome,mult,extra,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count
IFk9-06m032p,IFk9,06,,15084,16757.496,7856.072,24613.568,
IFk9-06m032p-csa,IFk9,06,csa,14995,17718.120,7965.904,25684.024,
IFn9-02m032p,IFn9,02,,9548,10118.304,4679.756,14798.060,
IFn9-03m032p,IFn9,03,,12756,12885.264,6692.064,19577.328,
IFn9-04m032p,IFn9,04,,10770,11587.086,5305.500,16892.586,
IFn9-06m032p,IFn9,06,,14972,14973.714,7552.595,22526.309,
IFn9-06m032p-csa,IFn9,06,csa,14776,15088.122,7537.997,22626.119,
IFn9-06m032p-lut,IFn9,06,lut,15155,15069.096,7656.761,22725.857,
IFn9-09m032p,IFn9,09,,16574,16823.268,8223.000,25046.268,
IFn9-12m032p,IFn9,12,,16162,17112.942,7921.922,25034.864,
IFn9-18m032p,IFn9,18,,18566,21160.440,9221.758,30382.198,
NAive-m032p,NAiv,,,13327,15345.666,5948.875,21294.541,
TCk9-05m032p,TCk9,05,,16136,20182.554,8610.366,28792.920,
TCk9-05m032p-csa,TCk9,05,csa,18391,26165.286,10055.304,36220.590,
TCn9-05m032p,TCn9,05,,14260,15732.108,7368.232,23100.340,
TCn9-05m032p-csa,TCn9,05,csa,14958,15973.650,7571.080,23544.730,
WMn4-02m032p,WMn4,02,,5135,5604.102,2537.093,8141.195,
WMn4-04m032p,WMn4,04,,6375,6816.726,3157.339,9974.065,
WMn4-08m032p,WMn4,08,,8421,9646.056,4208.416,13854.472,
