Project,nome,mult,extra,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count
IFn9-02m032p,IFn9,02,,10817,14022.414,5242.928,19265.342,2471
IFn9-03m032p,IFn9,03,,14152,16624.692,7310.414,23935.106,2470
IFn9-04m032p,IFn9,04,,11709,15313.536,5805.357,21118.893,2469
IFn9-06m032p,IFn9,06,,15710,18077.472,8047.685,26125.157,2469
IFn9-09m032p,IFn9,09,,17144,19656.504,8721.997,28378.501,2468
IFn9-12m032p,IFn9,12,,16249,20252.484,8345.891,28598.375,2467
IFn9-18m032p,IFn9,18,,19096,23658.138,9865.747,33523.885,2466
NAive,naive,,,3277,4327.722,1382.903,5710.625,802
TCn9-05m032p,TCn9,05,,15148,18571.518,7880.695,26452.213,2026
WMn4-02m032p,WMn4,02,,5965,7610.022,2932.674,10542.696,1253
WMn4-04m032p,WMn4,04,,7091,8866.116,3551.801,12417.917,1252
WMn4-08m032p,WMn4,08,,9103,11220.552,4673.210,15893.762,1250
