Project,architecture_mode,kernel_size,input_words,h_register_words,h_register_signals,t_register_words,t_register_signals,mac_lanes,output_words,total_estimated_words,source
Conv2x2-stream12-prefetch4-tcn4-04mac,stream12,2,16,16,r_input_weight[16],8,r_transform_row[4]; r_inverse_row[4],4,4,44,rtl_r_declarations
Conv2x2-stream12-tcn4-02mac,stream12,2,16,16,r_input_weight[16],8,r_transform_row[4]; r_inverse_row[4],2,4,44,rtl_r_declarations
Conv2x2-stream12-tcn4-04mac,stream12,2,16,16,r_input_weight[16],8,r_transform_row[4]; r_inverse_row[4],4,4,44,rtl_r_declarations
Conv2x2-stream12-tcn4-08mac,stream12,2,16,16,r_input_weight[16],8,r_transform_row[4]; r_inverse_row[4],8,4,44,rtl_r_declarations
Conv2x2-stream4-tcn4-04mac,stream4,2,16,16,r_input_weight[16],0,,4,4,36,rtl_r_declarations
Conv2x2-stream4-tcn4-04mac-rdrow,stream4-rdrow,2,16,16,r_input_weight[16],4,r_transform_row[4],4,4,40,rtl_r_declarations
Conv2x2-stream4-tcn4-08mac,stream4,2,16,16,r_input_weight[16],0,,8,4,36,rtl_r_declarations
Conv2x2-tcn4-04mac,standard,2,16,16,r_input_weight[16],16,r_conv_temp[16],4,4,52,rtl_r_declarations
Conv2x2-tcn4-16mac,all,2,16,16,r_input_weight[16],0,,16,4,36,rtl_r_declarations
Conv3x3-ifn9-06mac,standard,3,25,36,r_input_weight[36],36,r_conv_temp[36],6,9,106,rtl_r_declarations
Conv3x3stream-if-ifn9-06mac,stream,3,25,36,r_input_weight[36],12,r_transform_row[6]; r_inverse_row[6],6,9,82,rtl_r_declarations
Conv3x3stream-if-ifn9-12mac,stream,3,25,36,r_input_weight[36],18,r_transform_row[12]; r_inverse_row[6],12,9,88,rtl_r_declarations
Conv3x3stream-if-ifn9-18mac,stream,3,25,36,r_input_weight[36],24,r_transform_row[18]; r_inverse_row[6],18,9,94,rtl_r_declarations
Conv3x3stream-tc-tcn9-05mac,stream,3,25,25,r_input_weight[25],10,r_transform_row[5]; r_inverse_row[5],5,9,69,rtl_r_declarations
Conv3x3stream21-ifn9-06mac,stream,3,25,36,r_input_weight[36],12,r_transform_row[6]; r_inverse_row[6],6,9,82,rtl_r_declarations
Conv4x4-tcn16-18mac,standard,4,36,36,r_input_weight[36],36,r_conv_temp[36],18,16,124,rtl_r_declarations
Conv4x4stream28-tcn16-06mac,stream,4,36,36,r_input_weight[36],12,r_transform_row[6]; r_inverse_row[6],6,16,100,rtl_r_declarations
