Project,category,power_mW,percent_of_subtotal
Conv2x2-conv-all-i16-h16-t0-o4-m16,memory,0.0,0.0
Conv2x2-conv-all-i16-h16-t0-o4-m16,register,0.113593,17.454685704100257
Conv2x2-conv-all-i16-h16-t0-o4-m16,latch,0.0,0.0
Conv2x2-conv-all-i16-h16-t0-o4-m16,logic,0.516132,79.30877643718078
Conv2x2-conv-all-i16-h16-t0-o4-m16,bbox,0.0,0.0
Conv2x2-conv-all-i16-h16-t0-o4-m16,clock,0.0210622,3.236414930822326
Conv2x2-conv-all-i16-h16-t0-o4-m16,pad,0.0,0.0
Conv2x2-conv-all-i16-h16-t0-o4-m16,pm,0.0,0.0
Conv2x2-conv-std-i16-h16-t16-o4-m4,memory,0.0,0.0
Conv2x2-conv-std-i16-h16-t16-o4-m4,register,0.264068,31.965892460049904
Conv2x2-conv-std-i16-h16-t16-o4-m4,latch,0.0,0.0
Conv2x2-conv-std-i16-h16-t16-o4-m4,logic,0.529235,64.06482078894265
Conv2x2-conv-std-i16-h16-t16-o4-m4,bbox,0.0,0.0
Conv2x2-conv-std-i16-h16-t16-o4-m4,clock,0.0327901,3.969298856182053
Conv2x2-conv-std-i16-h16-t16-o4-m4,pad,0.0,0.0
Conv2x2-conv-std-i16-h16-t16-o4-m4,pm,0.0,0.0
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,memory,0.0,0.0
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,register,0.169577,31.922719973795722
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,latch,0.0,0.0
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,logic,0.333295,62.74248838973591
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,bbox,0.0,0.0
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,clock,0.0283388,5.334753986645608
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,pad,0.0,0.0
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,pm,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,memory,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,register,0.15677,31.06952740706095
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,latch,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,logic,0.319999,63.4191344053843
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,bbox,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,clock,0.0278083,5.5111994577647065
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,pad,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,pm,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,memory,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,register,0.195571,33.60395746991347
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,latch,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,logic,0.353768,60.7861330474168
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,bbox,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,clock,0.0326494,5.609978212609195
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,pad,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,pm,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,memory,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,register,0.137067,20.624232611888196
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,latch,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,logic,0.50143,75.44929821604835
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,bbox,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,clock,0.0260945,3.9263939379348534
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,pad,0.0,0.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,pm,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,memory,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,register,0.174438,25.19389585517821
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,latch,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,logic,0.49124,70.94927366684864
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,bbox,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,clock,0.026704,3.8568304779731415
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,pad,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,pm,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,memory,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,register,0.166916,18.173009190153763
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,latch,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,logic,0.726525,79.10053860550495
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,bbox,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,clock,0.025042,2.726452204341289
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,pad,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,pm,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,memory,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,register,0.186121,31.934888317713714
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,latch,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,logic,0.369382,63.37905403782339
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,bbox,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,clock,0.0273115,4.686143435126815
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,pad,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,pm,0.0,0.0
Conv3x3-ifn9-06mac,memory,0.0,0.0
Conv3x3-ifn9-06mac,register,0.466217,35.53212407590885
Conv3x3-ifn9-06mac,latch,0.0,0.0
Conv3x3-ifn9-06mac,logic,0.789386,60.162030333053885
Conv3x3-ifn9-06mac,bbox,0.0,0.0
Conv3x3-ifn9-06mac,clock,0.0564987,4.3059751543327485
Conv3x3-ifn9-06mac,pad,0.0,0.0
Conv3x3-ifn9-06mac,pm,0.0,0.0
Conv3x3stream-if-ifn9-18mac,memory,0.0,0.0
Conv3x3stream-if-ifn9-18mac,register,0.260082,26.550087281413653
