Project,nome,mult,extra,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,Conv2x2,08,,11778,13250.664,5423.023,18673.687,1061
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv2x2,08,,11818,11700.99,5154.615,16855.605,1023
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv2x2,16,,15200,16096.374,7033.262,23129.636,1019
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv2x2,08,,10338,11091.024,4664.783,15755.807,1023
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv2x2,08,,10254,11018.826,4641.563,15660.389,1025
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv2x2,08,,8874,11220.804,4454.464,15675.268,1263
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv2x2,08,,11153,12022.416,4985.31,17007.726,1205
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,Conv2x2,08,,12222,13681.836,5629.474,19311.31,1161
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4-latch,Conv2x2,08,,11299,13356.252,5482.353,18838.605,821
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,Conv2x2,08,,10506,11332.566,4740.575,16073.141,1124
Conv3x3-ifn9-06mac,Conv3x3,06,,11915,16155.846,5738.323,21894.169,2451
Conv3x3stream-if-ifn9-06mac,Conv3x3stream-if,06,,11222,14612.85,5347.179,19960.029,2156
Conv3x3stream-if-ifn9-12mac,Conv3x3stream-if,12,,15062,18616.626,7078.124,25694.75,2153
Conv3x3stream-if-ifn9-18mac,Conv3x3stream-if,18,,19755,23820.426,9474.131,33294.557,2274
Conv3x3stream-tc-tcn9-05mac,Conv3x3stream-tc,05,,11782,15624.882,5502.475,21127.357,1885
Conv3x3stream21-ifn9-06mac,Conv3x3stream21,06,,11220,14619.528,5344.799,19964.327,2156
Conv4x4-tcn16-18mac,Conv4x4,18,,23947,33446.196,12446.266,45892.462,2898
Conv4x4stream28-tcn16-06mac,Conv4x4stream28,06,,16564,25224.318,7987.41,33211.728,3464
